Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.40530776977539,35.27217958791646,26.784307105907242,28.9264082901474,855215656
1,2007-10-08,30.746402740478516,33.50053279976125,30.553129612468908,33.50053279976125,126671715
2,2007-10-09,32.84018325805664,33.13009074581065,29.1035857241229,30.762504919250738,116725709
3,2007-10-10,33.14618682861328,33.82264033434599,32.85627943159532,33.69379090326838,67931378
4,2007-10-11,36.85056686401367,38.654441255291076,32.85627637770815,38.654441255291076,106320954
5,2007-10-12,36.60898208618164,37.977993440718755,35.7553641153952,36.07748443410981,99410791
6,2007-10-15,37.092166900634766,37.59145607443532,36.77004654426162,37.365970077359336,41814972
7,2007-10-16,40.8770866394043,41.5213318086804,36.88279455173273,37.14048912421313,138614496
8,2007-10-17,44.066078186035156,45.09686075353774,34.176978847653665,36.721731093523104,204876259
9,2007-10-18,42.519893646240234,48.14089533057849,40.69991459784196,44.77473602773393,146617799
10,2007-10-19,42.374935150146484,44.09827956085975,40.26504464709222,41.553525796180864,110266491
11,2007-10-22,41.81122970581055,43.11581527947927,40.42610968154458,41.52132228599933,72253405
12,2007-10-23,44.790836334228516,45.1934866845947,42.8420060170346,42.8420060170346,74594921
13,2007-10-24,44.09829330444336,46.224288736830204,43.59900408214245,45.741103786297515,63055170
14,2007-10-25,44.00164794921875,45.03243478233477,38.86382679105838,42.60042359980804,34522489
15,2007-10-26,45.32233428955078,46.04710492607313,43.566777000137805,44.774728061008396,62370025
16,2007-10-29,46.24039840698242,47.35171562177848,45.83774787539514,46.06323392069917,43657697
17,2007-10-30,47.27116775512695,48.54354033547469,45.48339744514302,46.86851737482015,79921711
18,2007-10-31,48.25365447998047,49.31665458002547,47.351718973007316,47.51277919704096,44655368
19,2007-11-01,47.174537658691406,49.81592638355867,46.787995844418155,49.44548883982458,50632492
20,2007-11-02,48.02815246582031,48.318064268015135,45.0968564882514,45.4672983757144,32001693
21,2007-11-05,49.0106201171875,50.08972408932551,47.70603016793293,47.995941958236095,38833135
22,2007-11-06,49.65486526489258,52.79553874564505,48.97841164138465,49.86424262313535,81880281
23,2007-11-07,48.93009948730469,51.281576587314476,47.83489103482119,50.572914350548636,33593141
24,2007-11-08,48.092586517333984,49.397176743506904,47.029590957374566,47.67383174984391,27990521
25,2007-11-12,49.252197265625,50.12192366717821,45.370645725698026,46.643022430000784,35153735
26,2007-11-13,50.42795944213867,51.442637817518786,48.495237062733715,50.089734773357804,43830531
27,2007-11-14,49.76760482788086,52.02244717121676,49.50990593864905,51.3137806871251,36738579
28,2007-11-15,50.6051025390625,51.49093317900465,49.654846104964996,50.701736861260265,29242252
29,2007-11-16,50.25078201293945,51.39430737824605,49.67096282721959,50.37962926453175,18895294
30,2007-11-19,52.07075881958008,53.95516345169063,51.00776357533115,51.39430531458704,40716718
31,2007-11-20,51.26546859741211,53.31093379991628,50.63733213468567,51.861392149658734,26342171
32,2007-11-21,47.27116775512695,51.877486358222235,46.127638053633895,51.57147469061081,26814499
33,2007-11-22,45.644466400146484,48.672401339242775,43.663427020785846,46.771887682437246,34096185
34,2007-11-23,48.672386169433594,48.962293535002146,45.93435953962743,48.640173269029155,27664090
35,2007-11-26,49.05895233154297,50.47628133480036,48.6724104410389,50.47628133480036,20159123
36,2007-11-27,47.850990295410156,49.896455432045244,47.35170549068116,49.896455432045244,20573198
37,2007-11-28,47.14231491088867,49.1233582256523,46.820194615029365,48.897872270936325,16435311
38,2007-11-29,45.86996078491211,48.57577148296894,45.27403712444392,48.31807689040653,25530967
39,2007-11-30,47.6416130065918,47.93152045392004,46.063224131994104,46.707464845628834,18437721
40,2007-12-03,48.318058013916016,48.913981441573874,47.85098183220241,48.221419302680694,16851227
41,2007-12-04,47.68992614746094,49.04283327913134,47.33559291116282,48.64018286720998,14008727
42,2007-12-05,49.590431213378906,49.76760000173947,47.6738180288262,47.77045237226924,27725290
43,2007-12-06,48.672386169433594,51.4265126958884,48.044249903171966,50.66952919704472,24104710
44,2007-12-07,48.4630126953125,49.67096389694822,47.59329045155667,48.9784060818177,11742386
45,2007-12-10,48.511329650878906,49.10724869210048,47.88319333781675,48.93008428022964,8330010
46,2007-12-11,48.28587341308594,49.22002195503106,48.04428304694296,48.94621866626127,11685950
